@relation Ribosome_biogenesis
@attribute 'feature1' real
@attribute 'feature2' real
@attribute 'feature3' real
@attribute 'feature4' real
@attribute 'feature5' real
@attribute 'feature6' real
@attribute 'feature7' real
@attribute 'feature8' real
@attribute 'feature9' real
@attribute 'feature10' real
@attribute 'feature11' real
@attribute 'feature12' real
@attribute 'feature13' real
@attribute 'feature14' real
@attribute 'feature15' real
@attribute 'feature16' real
@attribute 'feature17' real
@attribute 'feature18' real
@attribute 'feature19' real
@attribute 'feature20' real
@attribute 'feature21' real
@attribute 'feature22' real
@attribute 'feature23' real
@attribute 'feature24' real
@attribute 'feature25' real
@attribute class {1,2,3,4,5 }
@data
0.002734,0.000130,0.002825,0.000163,0.002524,0.000151,0.001816,0.000219,0.002146,0.000409,0.054737,1.453386,0.653121,2.088942,0.605190,9.737978,6.923494,2.323267,3.213860,0.643562,1.144374,-0.161852,0.657918,0.000752,0.002294,2
0.004384,0.000194,0.004377,0.000167,0.002936,0.000196,0.002061,0.000264,0.002421,0.000502,0.067007,1.848444,0.253340,1.189363,0.565833,9.813261,3.093681,1.980671,2.997205,0.790803,1.238203,-0.030820,0.300947,0.002103,0.005742,1
0.002970,0.000437,0.003059,0.000447,0.003556,0.001415,0.001848,0.000283,0.002217,0.001042,0.045403,1.688442,0.664432,2.597864,0.558380,8.477387,7.882655,2.388485,3.292376,0.658064,1.160988,-0.178042,0.695164,0.004147,0.003697,5
0.004292,0.000598,0.004581,0.000698,0.003414,0.000868,0.001985,0.000237,0.002448,0.000879,0.058593,1.337469,0.720748,2.509830,0.606700,10.650124,6.979324,2.331748,3.060539,0.565862,1.097149,-0.223430,0.748147,0.006991,0.006103,5
0.003046,0.000287,0.003108,0.000259,0.002767,0.000252,0.001791,0.000223,0.002208,0.000550,0.069801,1.086667,0.693682,1.789676,0.659744,8.020000,6.003190,2.284815,3.018021,0.526856,1.044969,-0.205913,0.707985,0.001291,0.005633,1
0.003395,0.000410,0.003491,0.000376,0.002365,0.000156,0.001711,0.000180,0.002013,0.000375,0.062767,0.693073,0.857562,2.390049,0.722731,8.764729,8.764313,2.476506,2.988926,0.359420,0.874395,-0.365854,0.859565,0.006455,0.000428,1
0.004481,0.000948,0.004927,0.001094,0.004606,0.001722,0.002067,0.000304,0.002921,0.001616,0.078679,0.679679,0.880428,2.703276,0.713892,11.338691,9.854289,2.388922,2.855075,0.331429,0.843843,-0.382477,0.862179,0.005444,0.012062,5
0.003760,0.000594,0.003949,0.000658,0.004329,0.001893,0.002026,0.000229,0.002637,0.001455,0.053423,1.696552,0.797346,1.892298,0.545882,9.944828,9.426841,2.421552,3.097908,0.616864,1.151249,-0.278317,0.812554,0.003080,0.008622,5
0.002970,0.000437,0.003059,0.000447,0.003556,0.001415,0.001848,0.000283,0.002217,0.001042,0.045403,1.688442,0.664432,2.597864,0.558380,8.477387,7.882655,2.388485,3.292376,0.658064,1.160988,-0.178042,0.695164,0.004147,0.003697,5
0.004292,0.000598,0.004581,0.000698,0.003414,0.000868,0.001985,0.000237,0.002448,0.000879,0.058593,1.337469,0.720748,2.509830,0.606700,10.650124,6.979324,2.331748,3.060539,0.565862,1.097149,-0.223430,0.748147,0.006991,0.006103,5
0.004425,0.000167,0.004421,0.000166,0.002502,0.000143,0.001948,0.000206,0.002221,0.000334,0.072057,1.140239,0.598302,1.421302,0.632617,7.194091,4.496734,2.131537,2.908848,0.496764,1.034680,-0.143716,0.602484,0.003114,0.001511,1
0.004254,0.000192,0.004231,0.000181,0.002513,0.000121,0.002004,0.000241,0.002242,0.000325,0.063727,1.217860,0.615721,1.634928,0.628110,7.992666,4.996926,2.215328,3.015174,0.541038,1.070996,-0.150304,0.626744,0.002421,0.002096,1
0.003801,0.000114,0.003782,0.000108,0.003499,0.000363,0.002165,0.000280,0.002809,0.000757,0.061426,2.265833,0.136063,1.285906,0.525354,9.575232,2.979314,1.961582,3.084878,0.909581,1.315780,-0.010931,0.183136,0.003713,0.004047,1
0.004077,0.000124,0.004046,0.000118,0.003155,0.000276,0.002080,0.000254,0.002655,0.000611,0.065141,1.987128,0.221542,1.283340,0.551484,8.539994,3.117539,1.986948,3.044182,0.831322,1.266175,-0.020453,0.247082,0.002712,0.000882,1
0.004013,0.000139,0.004016,0.000132,0.002732,0.000224,0.001889,0.000212,0.002297,0.000484,0.058186,1.721539,0.439709,1.563322,0.577318,8.694169,4.406666,2.156417,3.141761,0.742844,1.212099,-0.069652,0.451700,0.004237,0.000983,1
0.004073,0.000195,0.004043,0.000166,0.003241,0.000328,0.002024,0.000249,0.002653,0.000689,0.067294,1.563200,0.412576,1.349762,0.598096,8.748848,3.748970,2.075789,3.009672,0.700955,1.178464,-0.065965,0.431957,0.003805,0.002169,1
0.004045,0.000116,0.004006,0.000119,0.003226,0.000331,0.001965,0.000229,0.002621,0.000706,0.065022,1.869749,0.272162,1.321736,0.560002,8.314556,3.262175,2.004158,3.031118,0.782615,1.237885,-0.029494,0.295861,0.003667,0.001355,1
0.003944,0.000182,0.003882,0.000175,0.002590,0.000157,0.001875,0.000197,0.002226,0.000408,0.070175,1.333333,0.514075,1.248283,0.619472,7.852837,4.086499,2.112671,2.953898,0.601459,1.111278,-0.106445,0.537314,0.001871,0.005060,1
0.003811,0.000397,0.003741,0.000349,0.002571,0.000207,0.001785,0.000187,0.002148,0.000448,0.076669,0.662181,0.845417,1.743406,0.730719,8.322506,6.961883,2.358342,2.805734,0.349516,0.859943,-0.358623,0.846581,0.003661,0.001558,1
0.002533,0.000214,0.002647,0.000285,0.001917,0.000134,0.001582,0.000178,0.001680,0.000232,0.048156,1.321101,0.775671,2.691854,0.611533,10.332896,10.274501,2.471237,3.276079,0.568323,1.097116,-0.238068,0.769893,0.002658,0.001911,5
0.003787,0.000252,0.003738,0.000211,0.002447,0.000161,0.001826,0.000167,0.002147,0.000358,0.081358,1.045731,0.571312,1.299211,0.651197,9.108610,3.810998,2.071913,2.808386,0.474758,1.010182,-0.135392,0.584657,0.000773,0.002610,1
0.003583,0.000500,0.004235,0.000744,0.003193,0.000575,0.001819,0.000212,0.002563,0.000831,0.089815,0.718364,0.742962,1.404765,0.716392,10.415244,4.870833,2.177379,2.729424,0.367417,0.885612,-0.256460,0.743011,0.003536,0.001471,3
