%
@relation Meier500_Standardized.arff

@attribute feature1 REAL
@attribute feature2 REAL
@attribute feature3 REAL
@attribute feature4 REAL
@attribute feature5 REAL
@attribute feature6 REAL
@attribute feature7 REAL
@attribute feature8 REAL
@attribute feature9 REAL
@attribute feature10 REAL
@attribute feature11 REAL
@attribute feature12 REAL
@attribute feature13 REAL
@attribute feature14 REAL
@attribute feature15 REAL
@attribute feature16 REAL
@attribute feature17 REAL
@attribute feature18 REAL
@attribute feature19 REAL
@attribute feature20 REAL
@attribute feature21 REAL
@attribute feature22 REAL
@attribute feature23 REAL
@attribute feature24 REAL
@attribute feature25 REAL
@attribute feature26 REAL
@attribute feature27 REAL
@attribute class {1,2,3,4,5}

@data
0.023232,0.0040293,0.019172,0.00071816,0.020836,0.00090572,0.00177,0.00043037,0.0073471,0.00022121,0.0027552,0.00014859,0.056469,0.46286,0.15192,0.24992,0.24401,0.54241,0.14541,0.70497,0.77066,0.47874,0.79295,0.94288,0.34866,0.0065476,0.019714,5
0.035213,0.0062271,0.025719,0.0019151,0.028586,0.0021737,0.090177,0.17442,0.03953,0.031191,0.050523,0.096991,0.02131,0.79087,0.14574,0.40341,0.11964,0.66546,0.24574,0.78943,0.90558,0.77426,0.93651,0.8175,0.63711,0.0043062,0.013489,4
0.02557,0.01978,0.038462,0.022582,0.035574,0.022099,0.078801,0.068675,0.029468,0.034012,0.050133,0.07656,0.19958,0.14143,0.41976,0.15405,0.6053,0.18239,0.07776,0.54198,0.50367,0.21803,0.5152,0.94426,0.29643,0.0012165,0.017661,1
0.06239,0.011355,0.061141,0.012129,0.06111,0.010597,0.045411,0.061666,0.043603,0.02732,0.04639,0.048254,0.028226,0.37365,0.35483,0.26456,0.25844,0.60262,0.18953,0.76872,0.84876,0.35703,0.73693,0.94688,0.348,0.0056656,0.018465,3
0.02294,0.003663,0.020341,0.0014363,0.021471,0.0013586,0.10408,0.10138,0.046877,0.040814,0.071337,0.10215,0.022948,0.51127,0.22587,0.31006,0.21544,0.71418,0.19135,0.7725,0.87262,0.51697,0.82814,0.96303,0.29545,0.0032479,0.0080178,1
0.07218,0.046154,0.02642,0.0075806,0.03532,0.012861,0.17506,0.41568,0.046718,0.045791,0.08092,0.19476,0.025977,0.21619,0.81482,0.36192,0.41331,0.63778,0.41541,0.91688,0.83966,0.23588,0.61412,0.6321,0.82184,0.052092,0.040713,3
0.013004,0.003663,0.010638,0.00063837,0.011561,0.00081514,0.00033187,0.00036889,0.0011979,0.00011061,0.00041927,7.4294e-05,0.0018861,0.93252,0.19546,0.51009,0,0.72401,0.32422,0.86653,0.97098,0.72424,0.9417,0.8321,0.63162,0.0070828,0.0075047,5
0.032876,0.014286,0.034604,0.0031918,0.033795,0.0043474,0.016907,0.014325,0.014215,0.0077425,0.014764,0.015342,0.023616,0.28305,0.66468,0.31223,0.36324,0.63216,0.32389,0.86772,0.8581,0.31105,0.68535,0.82488,0.61354,0.001256,0.016555,1
0.10783,0.16081,0.035773,0.032477,0.0465,0.038855,0.22127,0.67986,0.024118,0.027652,0.070169,0.24302,0.058404,0.25082,0.90537,0.32802,0.39777,0.3771,0.45906,0.87895,0.72754,0.28494,0.65845,0.46276,0.917,0.052867,0.17198,3
0.65357,0.62637,0.85925,0.22758,0.81883,0.26483,0.046702,0.035045,0.040888,0.024057,0.033782,0.039785,0.037714,0.29754,0.61504,0.32357,0.38269,0.3306,0.29983,0.82174,0.80646,0.35231,0.70949,0.77206,0.66665,0.098159,0.23274,2
0.045441,0.0062271,0.037176,0.0016757,0.040147,0.0017209,0.042184,0.027482,0.033781,0.031081,0.030517,0.038484,0.018338,0.58472,0.1241,0.32347,0.20325,0.68208,0.17238,0.75418,0.89633,0.61576,0.86064,0.94804,0.35294,0.0096678,0.0098105,1
0.021186,0.0040293,0.017536,0.00079796,0.01893,0.00090572,0.0015119,0.00036889,0.006229,5.5304e-05,0.002306,7.4294e-05,0.017509,0.78317,0.20227,0.48034,0.10427,0.80379,0.27778,0.82442,0.91001,0.7036,0.91733,0.83384,0.60755,0.0015419,0.0074923,5
0.08533,0.070696,0.041735,0.032876,0.04993,0.035142,0.082341,0.20018,0.025076,0.026435,0.037495,0.091456,0.045171,0.25362,0.70725,0.38924,0.38919,0.51661,0.33279,0.8451,0.79668,0.2825,0.6638,0.66181,0.78306,0.050708,0.078088,3
0.050701,0.0084249,0.034721,0.0018353,0.039258,0.002536,0.066872,0.12444,0.021802,0.020075,0.034051,0.069725,0.011189,0.54122,0.41918,0.44118,0.24771,0.73748,0.32005,0.87332,0.93792,0.60619,0.84161,0.85172,0.58604,0.0082293,0.010793,1
0.01841,0.0047619,0.015198,0.00071816,0.016516,0.00090572,0.001014,0.00018445,0.003993,5.5304e-05,0.0014675,0,0.024367,0.66114,0.28509,0.43893,0.14773,0.78802,0.28449,0.84302,0.88883,0.62228,0.88799,0.82602,0.61414,0.0067696,0.0090872,5
0.043396,0.012821,0.036942,0.0072614,0.039766,0.0076986,0.1796,0.44931,0.038253,0.034509,0.068132,0.18741,0.030404,0.39276,0.36045,0.3011,0.27236,0.56859,0.19437,0.76926,0.82563,0.39811,0.76157,0.8806,0.50692,0.018974,0.029691,3
0.023086,0.056777,0.070844,0.061363,0.063143,0.063128,0.077289,0.16145,0.023638,0.024831,0.042976,0.088187,0.44424,0.11732,0.7407,0.20481,0.7508,0.066757,0.10657,0.37667,0.30273,0.2312,0.41338,0.71132,0.55776,0.00961,0.02579,3
