@relation Semliki_virus
@attribute 'feature1' real
@attribute 'feature2' real
@attribute 'feature3' real
@attribute 'feature4' real
@attribute 'feature5' real
@attribute 'feature6' real
@attribute 'feature7' real
@attribute 'feature8' real
@attribute 'feature9' real
@attribute 'feature10' real
@attribute 'feature11' real
@attribute 'feature12' real
@attribute 'feature13' real
@attribute 'feature14' real
@attribute 'feature15' real
@attribute 'feature16' real
@attribute 'feature17' real
@attribute 'feature18' real
@attribute 'feature19' real
@attribute 'feature20' real
@attribute 'feature21' real
@attribute 'feature22' real
@attribute 'feature23' real
@attribute 'feature24' real
@attribute 'feature25' real
@attribute 'feature26' real
@attribute 'feature27' real
@attribute 'feature28' real
@attribute 'feature29' real
@attribute 'feature30' real
@attribute 'feature31' real
@attribute 'feature32' real
@attribute 'feature33' real
@attribute 'feature34' real
@attribute 'feature35' real
@attribute 'feature36' real
@attribute 'feature37' real
@attribute 'feature38' real
@attribute 'feature39' real
@attribute 'feature40' real
@attribute 'feature41' real
@attribute 'feature42' real
@attribute 'feature43' real
@attribute 'feature44' real
@attribute 'feature45' real
@attribute 'feature46' real
@attribute 'feature47' real
@attribute 'feature48' real
@attribute 'feature49' real
@attribute 'feature50' real
@attribute 'feature51' real
@attribute 'feature52' real
@attribute 'feature53' real
@attribute 'feature54' real
@attribute 'feature55' real
@attribute 'feature56' real
@attribute 'feature57' real
@attribute 'feature58' real
@attribute 'feature59' real
@attribute 'feature60' real
@attribute 'feature61' real
@attribute 'feature62' real
@attribute 'feature63' real
@attribute 'feature64' real
@attribute 'feature65' real
@attribute 'feature66' real
@attribute 'feature67' real
@attribute 'feature68' real
@attribute 'feature69' real
@attribute 'feature70' real
@attribute 'feature71' real
@attribute 'feature72' real
@attribute 'feature73' real
@attribute 'feature74' real
@attribute 'feature75' real
@attribute 'feature76' real
@attribute 'feature77' real
@attribute 'feature78' real
@attribute 'feature79' real
@attribute 'feature80' real
@attribute 'feature81' real
@attribute 'feature82' real
@attribute 'feature83' real
@attribute 'feature84' real
@attribute 'feature85' real
@attribute 'feature86' real
@attribute 'feature87' real
@attribute 'feature88' real
@attribute 'feature89' real
@attribute 'feature90' real
@attribute 'feature91' real
@attribute 'feature92' real
@attribute 'feature93' real
@attribute class {1,2,3,4,5}
@data
0.004134,0.000095,0.004102,0.000097,0.014196,0.004055,0.006097,0.004287,880.000000,0.766744,0.972376,0.698413,1.000000,115.154329,0.819637,41.945889,26.927270,-51.753158,0.055267,3.354922,0.013795,1.716481,0.489071,8.580311,3.448213,2.032300,3.287969,1.433898,1.494095,-0.014428,0.216390,0.006932,0.004458,0.038820,2.291451,0.683475,3.449574,0.530989,9.345855,12.138156,2.561339,3.464963,0.947413,1.319413,-0.220830,0.759829,0.132507,0.029503,0.052108,2.802600,0.063151,1.494010,0.486581,8.262833,3.180313,1.995122,3.220512,1.082509,1.393041,-0.005667,0.134680,0.001150,0.002280,0.053498,3.403709,0.000085,1.726484,0.459724,8.544936,3.403473,2.019929,3.278112,1.303070,1.484137,-0.020677,0.258081,0.005835,0.005860,0.051804,2.844191,0.048757,1.496326,0.488015,8.283827,3.135388,1.988231,3.222084,1.109480,1.408819,-0.004311,0.117607,0.004101,0.003764,1
0.004206,0.000184,0.004111,0.000131,0.012963,0.003815,0.005644,0.003679,848.000000,0.588725,0.983759,0.790308,1.000000,106.911688,0.915100,36.680279,29.649899,85.105244,0.178436,0.924119,0.375880,0.726287,0.701727,3.962060,2.033791,1.595859,2.128425,0.504609,0.952202,-0.095861,0.439229,0.001981,0.005847,0.035267,2.971545,0.648885,4.152819,0.491691,9.892954,13.946536,2.609682,3.538547,1.197378,1.435895,-0.223736,0.768392,0.084978,0.136531,0.310823,0.525998,0.264256,0.357138,0.780926,3.900790,0.903843,1.259114,1.644272,0.321359,0.794802,-0.050329,0.285377,0.002676,0.002235,0.172163,1.099099,0.282161,0.756612,0.685490,3.963964,1.956659,1.604395,2.158245,0.609519,0.986269,-0.074310,0.393811,0.014574,0.009911,0.305781,0.574968,0.204130,0.358874,0.775876,3.913184,0.869887,1.261553,1.667697,0.355430,0.823209,-0.031721,0.229261,0.008382,0.004462,1
0.004125,0.000092,0.004101,0.000094,0.012154,0.002832,0.005779,0.003271,898.000000,0.575778,0.966631,0.675188,1.000000,114.468037,0.846375,37.849963,30.946370,29.400489,0.042900,3.850126,0.029142,2.005844,0.467399,8.759446,4.079413,2.115931,3.468770,1.637751,1.544852,-0.019523,0.257571,0.006634,0.003838,0.044598,1.555416,0.717648,2.747878,0.553275,8.641058,9.461841,2.475433,3.292606,0.547845,1.099020,-0.255879,0.787324,0.038420,0.030245,0.066928,2.399791,0.035133,1.245376,0.529510,8.411482,2.574524,1.890913,3.044113,1.016835,1.349731,-0.003372,0.101158,0.002996,0.001146,0.041638,3.983494,-0.007783,1.992455,0.436172,8.770289,3.912845,2.093608,3.466550,1.498642,1.551542,-0.018395,0.250040,0.003800,0.003654,0.066699,2.406655,0.033744,1.245940,0.522774,8.423509,2.574746,1.890611,3.045821,0.993290,1.343846,-0.003151,0.097817,0.000364,0.001038,1
0.004100,0.000096,0.004077,0.000096,0.012946,0.003560,0.005746,0.003652,800.000000,0.804097,0.975610,0.707339,1.000000,109.740115,0.819766,41.612112,24.738310,65.583189,0.053427,3.089312,0.036767,1.611189,0.493256,9.130307,3.316841,2.005156,3.249249,1.298496,1.456962,-0.026330,0.288389,0.002494,0.005599,0.035248,2.871157,0.614439,3.530956,0.449927,8.850659,11.974769,2.560322,3.530056,0.940562,1.347696,-0.217275,0.760076,0.056756,0.079058,0.068019,2.299209,0.045003,1.205840,0.532685,7.803842,2.515646,1.878726,2.996239,0.963552,1.331309,-0.004313,0.113480,0.002261,0.001629,0.054371,3.182867,0.003817,1.633854,0.484440,9.159802,3.182041,1.989299,3.249804,1.313137,1.454992,-0.019257,0.248534,0.002428,0.007138,0.067606,2.235018,0.071023,1.199923,0.531199,7.818566,2.576248,1.891064,2.994619,0.916434,1.310651,-0.005170,0.124143,0.000304,0.002737,1
0.004145,0.000145,0.004060,0.000113,0.013376,0.003105,0.006003,0.003690,747.000000,0.826173,0.931421,0.709402,1.000000,109.740115,0.765457,41.825652,23.565279,-74.235216,0.162474,1.303175,0.103957,0.675374,0.675622,4.763492,1.602794,1.586289,2.272939,0.744240,1.104043,-0.026548,0.247112,0.012892,0.009802,0.045840,2.907937,0.438399,2.523217,0.515711,9.495238,7.440454,2.326183,3.353896,1.279274,1.419909,-0.114649,0.580600,0.211603,0.042115,0.242841,0.705185,0.147262,0.415891,0.739265,4.349136,0.948721,1.345544,1.851305,0.402006,0.885394,-0.018751,0.185899,0.007814,0.002471,0.152635,1.465704,0.030555,0.694291,0.647088,4.808664,1.555448,1.544795,2.298654,0.788203,1.148032,-0.023918,0.236272,0.019231,0.018900,0.243908,0.716452,0.140412,0.418004,0.742773,4.364781,0.950482,1.345937,1.860479,0.417477,0.898374,-0.014596,0.164413,0.005981,0.008695,1
0.004067,0.000097,0.004046,0.000098,0.013449,0.003405,0.006041,0.003762,755.000000,0.836593,0.946115,0.650862,1.000000,110.568542,0.762208,42.539336,23.304124,-63.491982,0.051835,3.088189,0.080327,1.706655,0.485165,9.028346,3.624393,2.049784,3.295919,1.266752,1.436452,-0.026165,0.290143,0.002182,0.005902,0.035055,3.108661,0.504809,3.196513,0.518799,9.225197,9.443775,2.469894,3.583363,1.416614,1.480135,-0.122544,0.611536,0.074541,0.055618,0.056849,2.521610,0.085106,1.381528,0.511645,8.092368,2.990233,1.964550,3.137038,1.017368,1.362222,-0.006458,0.141905,0.002044,0.003168,0.050539,3.086022,0.070486,1.668777,0.486657,9.046595,3.546216,2.044320,3.291367,1.260133,1.449727,-0.021848,0.265053,0.004889,0.005405,0.056543,2.503224,0.093305,1.387565,0.510542,8.115811,3.018055,1.969771,3.141036,0.999011,1.355240,-0.005082,0.126108,0.004501,0.001947,1
0.004067,0.000096,0.004045,0.000096,0.011505,0.002468,0.005679,0.003042,884.000000,0.793679,0.877855,0.677395,1.000000,128.468037,0.662731,45.484289,27.669755,-84.637060,0.042775,3.504685,0.073004,1.900037,0.441659,9.437751,4.045322,2.110387,3.410806,1.264714,1.479791,-0.021067,0.265018,0.001935,0.006539,0.029112,3.145917,0.528268,3.310735,0.480762,8.805890,10.191237,2.532992,3.690270,1.274112,1.448372,-0.126032,0.625553,0.137665,0.012771,0.057811,2.697488,0.075616,1.462271,0.504807,9.134919,3.138721,1.987856,3.195358,1.100206,1.393362,-0.006369,0.142224,0.001545,0.002599,0.044729,3.592705,0.033922,1.837058,0.458605,9.452888,3.816169,2.079249,3.367258,1.410575,1.509117,-0.033653,0.330162,0.003414,0.001364,0.058084,2.650683,0.087591,1.457041,0.504822,9.160297,3.159387,1.991805,3.189686,1.070325,1.382279,-0.006879,0.147660,0.000923,0.000450,1
0.004121,0.000092,0.004095,0.000094,0.013165,0.002935,0.005813,0.003503,817.000000,0.766718,0.955556,0.658871,1.000000,111.639610,0.809188,40.627060,26.081939,-62.998572,0.045510,3.154950,0.062089,1.671278,0.465636,8.618364,3.564541,2.044702,3.317356,1.182074,1.447027,-0.015543,0.225174,0.001428,0.000112,0.042850,2.549498,0.567849,3.006630,0.524399,9.921090,9.246284,2.473062,3.447576,1.093615,1.357884,-0.159609,0.670967,0.041798,0.056996,0.074397,2.125626,0.057798,1.132574,0.542460,8.550501,2.386014,1.852258,2.933929,0.887552,1.295674,-0.005203,0.123338,0.003007,0.000995,0.048173,3.238250,0.005059,1.624302,0.466600,8.641815,3.254200,2.001517,3.273595,1.240861,1.454729,-0.019089,0.247287,0.003837,0.003130,0.074103,2.201732,0.023980,1.132359,0.537156,8.556277,2.309603,1.835813,2.935957,0.918268,1.310330,-0.003977,0.107941,0.001215,0.000728,1
0.004110,0.000090,0.004083,0.000098,0.018624,0.006367,0.007003,0.005785,495.000000,0.653449,0.976331,0.742129,1.000000,83.012193,0.881313,29.002235,21.953849,-10.004163,0.036038,4.323944,0.052881,2.324913,0.427141,9.455399,4.806696,2.179363,3.571287,1.639269,1.589983,-0.038035,0.360399,0.004938,0.001792,0.035344,2.504695,0.679686,3.752810,0.510370,9.500000,13.090376,2.614938,3.511900,0.985899,1.345919,-0.244525,0.790705,0.159347,0.162365,0.065879,2.222261,0.082558,1.212942,0.530433,7.727115,2.622136,1.896566,3.006867,0.904223,1.308900,-0.009772,0.170615,0.001477,0.002175,0.034755,4.711286,-0.040777,2.265857,0.417124,9.383202,4.341345,2.140171,3.572698,1.791762,1.628711,-0.032625,0.334502,0.004192,0.009472,0.064876,2.248651,0.072115,1.216192,0.528366,7.744872,2.598098,1.893235,3.010083,0.910254,1.313025,-0.007980,0.154468,0.000936,0.003867,1
0.004052,0.000095,0.004031,0.000092,0.016105,0.002847,0.006609,0.004730,895.000000,0.808259,0.976009,0.687404,1.000000,116.225397,0.818445,44.229643,26.043632,-63.711584,0.054547,2.871261,0.006114,1.448553,0.485999,7.014304,2.903567,1.949469,3.151570,1.111930,1.414361,-0.016762,0.227900,0.005977,0.001923,0.053001,2.387516,0.450187,2.088508,0.553643,10.452536,6.286759,2.313013,3.286085,1.107587,1.358661,-0.118824,0.585217,0.042986,0.169855,0.083331,1.823912,0.029985,0.939271,0.563530,8.237167,1.936604,1.748618,2.768710,0.765023,1.230520,-0.003958,0.104506,0.003846,0.000528,0.053732,2.801749,0.032330,1.439198,0.491246,7.029155,2.984573,1.957631,3.146886,1.095793,1.405149,-0.018916,0.241678,0.003849,0.001419,0.083391,1.823238,0.033913,0.941428,0.566467,8.247917,1.950922,1.751600,2.773527,0.774009,1.232753,-0.003059,0.092006,0.002011,0.000879,1
