%
@relation Huotari500_Standardized.arff

@attribute feature1 REAL
@attribute feature2 REAL
@attribute feature3 REAL
@attribute feature4 REAL
@attribute feature5 REAL
@attribute feature6 REAL
@attribute feature7 REAL
@attribute feature8 REAL
@attribute feature9 REAL
@attribute feature10 REAL
@attribute feature11 REAL
@attribute feature12 REAL
@attribute feature13 REAL
@attribute feature14 REAL
@attribute feature15 REAL
@attribute feature16 REAL
@attribute feature17 REAL
@attribute feature18 REAL
@attribute feature19 REAL
@attribute feature20 REAL
@attribute feature21 REAL
@attribute feature22 REAL
@attribute feature23 REAL
@attribute feature24 REAL
@attribute feature25 REAL
@attribute class {1,2,3,4}

@data
0.44095,0.18445,0.36732,0.23173,0.56595,0.43473,0.60925,0.60354,0.6641,0.53018,0.052057,0.49461,0.49472,0.29572,0.33721,0.42265,0.23622,0.79075,0.79893,0.44824,0.81468,0.75116,0.61298,0.11453,0.15916,1
0.27721,0.043816,0.20411,0.089927,0.47437,0.33575,0.23595,0.17327,0.43002,0.45056,0.033329,0.27905,0.81092,0.40574,0.41385,0.60762,0.37527,0.88424,0.83252,0.22612,0.66664,0.51356,0.81797,0.026336,0.026355,1
0.39685,0.12686,0.27603,0.1444,0.41542,0.27739,0.40713,0.22345,0.49028,0.36486,0.13193,0.3511,0.30546,0.15652,0.46294,0.19216,0.1101,0.61497,0.60872,0.35607,0.71047,0.86855,0.39749,0.13792,0.33363,1
0.24113,0.21131,0.18982,0.15067,0.36479,0.18707,0.31215,0.33809,0.32121,0.30794,0.047619,0.32151,0.68952,0.31569,0.33539,0.62122,0.25295,0.81789,0.78414,0.22917,0.67964,0.63126,0.72679,0.040429,0.042397,1
0.62535,0.18975,0.467,0.22936,0.54322,0.46296,0.48212,0.29371,0.63646,0.53334,0.14102,0.13553,0.73783,0.15252,0.66076,0.26289,0.14257,0.6609,0.57637,0.14867,0.50279,0.39887,0.78432,0.24589,0.13503,1
0.41936,0.21696,0.24828,0.12668,0.40554,0.30795,0.2516,0.13563,0.38872,0.38589,0.17665,0.22649,0.37747,0.099465,0.57283,0.16755,0.083689,0.56211,0.5312,0.24393,0.59725,0.82763,0.42709,0.2234,0.16047,1
0.28091,0.090459,0.19934,0.10376,0.47073,0.28111,0.62381,0.36239,0.57423,0.37789,0.2122,0.25084,0.31293,0.11146,0.53164,0.12704,0.080488,0.52139,0.51171,0.25695,0.63976,0.90334,0.31242,0.13979,0.15074,1
0.38575,0.33004,0.28785,0.21249,0.49005,0.48864,0.19405,0.13735,0.41905,0.52314,0.19796,0.1258,0.72538,0.13426,0.67052,0.44237,0.12727,0.64586,0.55102,0.13785,0.47888,0.42884,0.7561,0.11005,0.062069,1
0.41166,0.22226,0.46076,0.46974,0.49865,0.48549,0.29963,0.15676,0.46757,0.51907,0.033844,0.31069,0.82227,0.46596,0.39712,0.46127,0.43849,0.87828,0.83311,0.25681,0.69664,0.49954,0.82592,0.16202,0.21523,2
0.41381,0.37385,0.41051,0.51383,0.81137,0.94444,0.3485,0.25555,0.57119,0.8582,0.06614,0.45039,0.79002,0.58477,0.32571,0.39349,0.52737,0.85283,0.80447,0.38251,0.78946,0.44744,0.85188,0.020572,0.11479,1
0.284,0.14311,0.1913,0.091224,0.51214,0.37588,0.28169,0.17565,0.5013,0.49071,0.10638,0.19062,0.68384,0.17937,0.567,0.46801,0.16009,0.71839,0.64942,0.19023,0.56886,0.53021,0.73965,0.024312,0.059839,1
0.48196,0.39505,0.47718,0.4626,0.63893,0.82129,0.20079,0.15742,0.49942,0.75529,0.27196,0.17416,0.56016,0.12372,0.68868,0.21346,0.10251,0.54717,0.47371,0.21625,0.51756,0.55133,0.64508,0.12689,0.59156,3
0.46562,0.30707,0.37652,0.26697,0.5709,0.46785,0.36957,0.4477,0.56545,0.56918,0.12436,0.16968,0.69073,0.1514,0.62506,0.30677,0.14543,0.67657,0.59434,0.18566,0.53506,0.43722,0.77583,0.23466,0.27475,1
0.54764,0.18869,0.31511,0.1016,0.86028,0.68267,0.59071,0.27575,0.79988,0.81355,0.18829,0.2132,0.30322,0.096199,0.53245,0.28727,0.067193,0.56153,0.54151,0.20554,0.59498,0.86842,0.37695,0.031853,0.20976,1
0.29756,0.16643,0.32841,0.33744,0.41646,0.41306,0.27182,0.13497,0.39593,0.43461,0.03286,0.47987,0.71273,0.47636,0.30992,0.44481,0.42798,0.87049,0.86231,0.40551,0.81367,0.61041,0.76035,0.24025,0.22195,2
0.18039,0.13357,0.19442,0.21876,0.45496,0.68717,0.25629,0.1491,0.3928,0.5835,0.084223,0.218,0.84735,0.37573,0.53528,0.36661,0.35045,0.7853,0.71066,0.2125,0.61728,0.36272,0.86087,0.17607,0.072534,1
0.29417,0.29293,0.2179,0.17207,0.37186,0.33261,0.19189,0.12269,0.34406,0.37952,0.16071,0.21632,0.4663,0.12336,0.57267,0.35735,0.098986,0.62452,0.57395,0.22928,0.59,0.69625,0.57879,0.17112,0.23613,1
