%
@relation WildDetailed500_Standardized.arff

@attribute feature1 REAL
@attribute feature2 REAL
@attribute feature3 REAL
@attribute feature4 REAL
@attribute feature5 REAL
@attribute feature6 REAL
@attribute feature7 REAL
@attribute feature8 REAL
@attribute feature9 REAL
@attribute feature10 REAL
@attribute feature11 REAL
@attribute feature12 REAL
@attribute feature13 REAL
@attribute feature14 REAL
@attribute feature15 REAL
@attribute feature16 REAL
@attribute feature17 REAL
@attribute feature18 REAL
@attribute feature19 REAL
@attribute feature20 REAL
@attribute feature21 REAL
@attribute feature22 REAL
@attribute feature23 REAL
@attribute feature24 REAL
@attribute feature25 REAL
@attribute class {1,2,3,4,5,6,7,8,9,10}

@data
0.22985,0.07731,0.27405,0.29398,0.37733,0.080678,0.81479,0.14688,0.46141,0.14547,0.092112,0.34404,0.89603,0.79965,0.69948,0.5513,0.75768,0.94058,0.9008,0.43805,0.72424,0.46768,0.92354,0.11658,0.2303,7
0.2784,0.12755,0.25716,0.13415,0.36035,0.065239,0.85405,0.1606,0.46274,0.12,0.15076,0.26699,0.82404,0.44418,0.7546,0.40246,0.3566,0.78845,0.76539,0.38319,0.66498,0.59026,0.81051,0.074187,0.095939,1
0.38167,0.25543,0.41363,0.30968,0.66593,0.59954,0.86826,0.18806,0.67472,0.56805,0.13406,0.17964,0.92949,0.50421,0.78546,0.93467,0.41497,0.85861,0.75506,0.24895,0.54964,0.34074,0.9503,0.14239,0.030229,8
0.46921,0.40891,0.43221,0.36253,0.30772,0.056975,0.80949,0.085106,0.41392,0.084951,0.11764,0.33245,0.80677,0.36077,0.71065,0.4285,0.40012,0.83858,0.82944,0.43692,0.71795,0.60235,0.82709,0.23345,0.15507,3
0.3942,0.17423,0.40897,0.19161,0.37492,0.078613,0.86344,0.16404,0.47359,0.13359,0.11434,0.18857,0.8589,0.34255,0.77326,0.82956,0.32696,0.85491,0.79924,0.25109,0.55507,0.48051,0.88728,0.061653,0.095486,2
0.50194,0.2778,0.49441,0.26423,0.36209,0.087202,0.82731,0.13933,0.45548,0.13393,0.071018,0.34579,0.8604,0.56594,0.67939,0.62488,0.57333,0.93393,0.93079,0.40229,0.70981,0.5546,0.88194,0.085721,0.18675,3
0.45096,0.43501,0.48147,0.39671,0.4,0.15472,0.85284,0.14139,0.50389,0.18691,0.15259,0.19591,0.77957,0.22946,0.78689,0.86521,0.22181,0.76921,0.72321,0.28464,0.58271,0.5588,0.81751,0.14474,0.51777,3
0.23517,0.084441,0.27082,0.27291,0.40107,0.15396,0.84032,0.13795,0.47451,0.18292,0.12123,0.20769,0.91927,0.5726,0.7756,0.49029,0.55204,0.89032,0.81062,0.29366,0.5965,0.38206,0.94057,0.17279,0.10871,6
0.22376,0.039708,0.25384,0.18477,0.41525,0.12863,0.82514,0.13384,0.48792,0.18737,0.077998,0.34896,0.905,0.87669,0.67266,0.84251,0.81699,0.96367,0.93543,0.39468,0.70635,0.4641,0.93145,0.087484,0.093141,5
0.58276,0.14214,0.5928,0.24002,0.44019,0.11634,0.85983,0.17433,0.53265,0.19742,0.11987,0.25638,0.90328,0.61341,0.75168,0.57121,0.60146,0.87929,0.84804,0.35738,0.65049,0.48323,0.89927,0.15488,0.044844,4
0.45704,0.25024,0.46036,0.24279,0.46306,0.1457,0.87259,0.16472,0.54708,0.22174,0.14534,0.22822,0.83214,0.36724,0.77473,0.53817,0.3379,0.81639,0.78301,0.33455,0.627,0.53845,0.84786,0.052191,0.17554,3
0.33772,0.15721,0.34663,0.18126,0.39659,0.093509,0.83526,0.14139,0.48178,0.15985,0.20636,0.24149,0.85013,0.43313,0.77341,0.54982,0.3928,0.7971,0.74613,0.35978,0.63847,0.51783,0.85767,0.12735,0.15063,4
0.47814,0.27812,0.45101,0.2646,0.34938,0.073176,0.8461,0.11874,0.4478,0.11452,0.12798,0.20535,0.79585,0.28517,0.77528,0.48634,0.25484,0.80231,0.76615,0.28841,0.59235,0.56096,0.82916,0.18493,0.056644,3
0.27015,0.10713,0.38694,0.76386,0.423,0.11004,0.84778,0.16815,0.49867,0.18303,0.10006,0.252,0.92011,0.70149,0.73041,0.5164,0.67295,0.92498,0.86196,0.31454,0.62913,0.40291,0.94305,0.59006,0.69288,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10
0.25798,0.080551,0.30247,0.29379,0.46219,0.21148,0.85814,0.13795,0.54749,0.25268,0.14664,0.17666,0.94182,0.59426,0.82638,0.54597,0.58508,0.88614,0.79375,0.29248,0.5671,0.27184,0.97755,0.053675,0.3117,6
0.19099,0.011507,0.18684,0.013673,0.29883,0.046646,0.80564,0.091283,0.4088,0.07536,0.097453,0.61521,0.16683,0.23231,0.58067,0.56126,0.14131,0.70445,0.85206,0.64093,0.8619,0.97767,0.22195,0.034926,0.012864,9
0.50978,0.17245,0.55972,0.31911,0.37151,0.057301,0.86055,0.19423,0.49529,0.12274,0.15421,0.1615,0.91422,0.41792,0.81459,0.607,0.41382,0.85645,0.775,0.24668,0.53802,0.37072,0.93293,0.26316,0.23782,6
0.55161,0.38379,0.51831,0.3605,0.46713,0.12569,0.86464,0.21414,0.54186,0.22003,0.078809,0.35253,0.78053,0.44084,0.70338,0.61698,0.40977,0.89957,0.91918,0.46188,0.73066,0.63344,0.82014,0.064798,0.19418,3
0.25717,0.091572,0.24612,0.079268,0.4676,0.13385,0.89114,0.21139,0.56213,0.21809,0.13779,0.371,0.39342,0.19678,0.66963,0.49496,0.13649,0.67554,0.75733,0.42942,0.72944,0.90188,0.43187,0.026742,0.050158,9
0.26961,0.1034,0.30478,0.24612,0.52377,0.19202,0.91883,0.23816,0.62528,0.27826,0.17928,0.17382,0.93137,0.53468,0.80648,0.56264,0.50516,0.84336,0.75529,0.26318,0.55767,0.36277,0.93933,0.10394,0.15071,4
0.44135,0.17909,0.47748,0.29989,0.48211,0.16212,0.88704,0.2162,0.53951,0.23601,0.082302,0.32156,0.87896,0.66375,0.72181,0.6859,0.63197,0.93775,0.91834,0.43714,0.7011,0.51791,0.90049,0.25907,0.14142,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10
0.31108,0.22869,0.43562,0.65355,0.36483,0.11112,0.80491,0.085106,0.46356,0.14981,0.074873,0.24771,0.93903,0.79073,0.73864,0.78919,0.79862,0.97188,0.90375,0.31938,0.63022,0.35771,0.96917,0.1885,0.063397,5
0.38293,0.20113,0.36153,0.19438,0.34537,0.058606,0.84441,0.1407,0.44974,0.10767,0.082908,0.327,0.82911,0.53112,0.7127,0.53968,0.44852,0.9038,0.89385,0.4301,0.71349,0.56833,0.86858,0.15453,0.15335,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10
0.4313,0.24003,0.43283,0.23189,0.53086,0.23464,0.88415,0.21345,0.55455,0.29253,0.08621,0.36064,0.76436,0.45822,0.68135,0.53556,0.37984,0.87285,0.88715,0.43393,0.72752,0.65954,0.79536,0.028608,0.11965,1
0.45262,0.39384,0.52554,0.51146,0.3889,0.092639,0.88487,0.18051,0.487,0.14467,0.13157,0.18129,0.87636,0.38389,0.78283,0.91149,0.33203,0.839,0.76736,0.24891,0.55051,0.4396,0.90591,0.1165,0.19332,2
0.53029,0.46969,0.55436,0.44605,0.40274,0.12178,0.8461,0.15237,0.49877,0.17458,0.13788,0.20085,0.9329,0.58002,0.79675,0.97813,0.50426,0.85986,0.77887,0.30789,0.59449,0.36089,0.94652,0.16974,0.085826,2
0.27466,0.15867,0.33466,0.37639,0.45048,0.18745,0.842,0.13246,0.51883,0.23316,0.059778,0.40634,0.85807,0.73568,0.63043,0.82034,0.70104,0.96174,0.96042,0.4082,0.72479,0.51775,0.90897,0.2357,0.11721,5
0.4528,0.28606,0.47921,0.30192,0.34751,0.064912,0.82611,0.13384,0.44381,0.11521,0.11999,0.21284,0.87622,0.41647,0.78003,0.59872,0.40987,0.87335,0.82137,0.31039,0.60801,0.45106,0.90905,0.1591,0.2155,4
0.28719,0.14959,0.38982,0.62657,0.42193,0.12613,0.85525,0.16678,0.49263,0.18463,0.10553,0.25143,0.89333,0.57334,0.74349,0.59303,0.54509,0.92116,0.86882,0.33452,0.64114,0.43203,0.93199,0.1313,0.46258,6
