@relation 'HTS data set-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P75.0-weka.filters.unsupervised.instance.RemovePercentage-P4.21'

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute feature6 numeric
@attribute feature7 numeric
@attribute feature8 numeric
@attribute feature9 numeric
@attribute feature10 numeric
@attribute feature11 numeric
@attribute feature12 numeric
@attribute feature13 numeric
@attribute feature14 numeric
@attribute feature15 numeric
@attribute feature16 numeric
@attribute feature17 numeric
@attribute feature18 numeric
@attribute feature19 numeric
@attribute feature20 numeric
@attribute feature21 numeric
@attribute feature22 numeric
@attribute feature23 numeric
@attribute feature24 numeric
@attribute feature25 numeric
@attribute feature26 numeric
@attribute feature27 numeric
@attribute class {1,2,3,4,5}

@data
0.001913,0.000036,0.001912,0.000035,0.001913,0.000036,0.001801,0.000031,0.001791,0.000032,0.001793,0.000032,0.080298,3.206897,-0.063317,1.447166,0.484999,7.37931,2.821641,1.889113,2.924274,1.317965,1.449763,-0.035535,0.320882,0.002235,0.003322,5
0.001995,0.000042,0.001968,0.00005,0.001974,0.00005,0.006596,0.002861,0.002194,0.000592,0.003388,0.002639,0.048217,5.460526,-0.07049,2.328558,0.402474,8.592105,4.741517,2.098031,3.40782,2.115478,1.689945,-0.113544,0.58635,0.001498,0.002315,4
0.001929,0.000079,0.002077,0.000309,0.002029,0.00027,0.005979,0.001141,0.002068,0.000643,0.003375,0.002089,0.210886,0.998435,0.247357,0.896711,0.724741,3.830986,1.52699,1.485945,1.967404,0.614384,0.985049,-0.034676,0.27281,0.000482,0.00299,1
0.002181,0.000056,0.002271,0.000178,0.00223,0.000143,0.004168,0.001027,0.002245,0.000522,0.00325,0.001327,0.054527,2.593939,0.172043,1.531267,0.494573,7.972727,3.665923,2.046804,3.204181,0.989495,1.356035,-0.033047,0.320279,0.001945,0.00312,3
0.001911,0.000035,0.001922,0.000044,0.001918,0.000041,0.00735,0.001673,0.002286,0.000766,0.004083,0.002778,0.049711,3.539496,0.022454,1.792546,0.46604,9.072269,3.70066,2.056152,3.289678,1.421126,1.508632,-0.022999,0.271912,0.00115,0.00143,1
0.002248,0.000151,0.001974,0.000121,0.002027,0.000168,0.0112,0.006785,0.002284,0.000856,0.004403,0.005271,0.052475,1.512048,0.705601,2.090325,0.597342,8.319277,7.988424,2.413298,3.171552,0.662542,1.150552,-0.228888,0.756365,0.017211,0.006719,3
0.001843,0.000035,0.001839,0.000034,0.00184,0.000035,0.001723,0.00003,0.001714,0.00003,0.001715,0.00003,0.030493,6.433823,-0.01282,2.941177,0.323083,9.169118,6.243458,2.288753,3.642186,1.980482,1.698631,-0.104459,0.581302,0.002411,0.001347,5
0.001979,0.000064,0.002044,0.000066,0.002015,0.000074,0.002622,0.000257,0.001877,0.000168,0.002194,0.000441,0.050321,1.97148,0.53145,1.804989,0.564119,8.263815,6.236997,2.291694,3.237634,0.86542,1.269732,-0.108953,0.564658,0.000495,0.002811,1
0.002492,0.000464,0.002054,0.000433,0.002115,0.000455,0.013706,0.011082,0.002001,0.000528,0.004044,0.00657,0.082064,1.75,0.810628,1.895661,0.587032,5.75,8.823864,2.319458,2.76973,0.794938,1.224727,-0.334241,0.843949,0.017466,0.027954,3
0.006227,0.001735,0.009098,0.002878,0.008194,0.00295,0.004238,0.000594,0.002211,0.000463,0.002829,0.001099,0.063185,2.071017,0.473863,1.87013,0.577024,5.291747,5.776688,2.177963,3.052581,0.976765,1.31012,-0.14181,0.613539,0.032359,0.037782,2
0.002065,0.000042,0.002066,0.000047,0.002065,0.000045,0.003993,0.000471,0.002122,0.00059,0.00272,0.001064,0.045505,4.044156,-0.095596,1.86955,0.457956,8.755844,3.337791,2.01084,3.374647,1.687731,1.56302,-0.032325,0.324822,0.003261,0.00172,1
0.001899,0.000036,0.001898,0.000036,0.001898,0.000036,0.001787,0.00003,0.001777,0.000029,0.001778,0.00003,0.044748,5.407643,-0.004918,2.770335,0.392272,9.955414,5.3547,2.184572,3.423686,1.924784,1.657863,-0.103378,0.559146,0.000589,0.001345,5
0.002338,0.000218,0.002105,0.000438,0.002142,0.000414,0.006171,0.00328,0.002013,0.000506,0.002953,0.00249,0.069989,1.769231,0.580829,2.247203,0.581335,7.125,6.407452,2.235731,3.017515,0.788369,1.233673,-0.210402,0.72068,0.016756,0.012765,3
0.002101,0.000048,0.002045,0.000049,0.002058,0.000054,0.005332,0.002048,0.001972,0.000391,0.002838,0.001905,0.038982,3.745283,0.246682,2.545457,0.487453,9.301887,6.163581,2.305539,3.523698,1.66189,1.53117,-0.092255,0.539355,0.002788,0.001879,1
0.00188,0.000038,0.001878,0.000035,0.001879,0.000036,0.00176,0.000027,0.001749,0.000029,0.00175,0.000028,0.051006,4.569231,0.091143,2.532544,0.421114,9.8,5.483077,2.230588,3.347771,1.705325,1.608776,-0.108244,0.565211,0.002308,0.001603,5
0.002051,0.00006,0.002064,0.000117,0.002062,0.000111,0.011446,0.007332,0.002178,0.000652,0.003976,0.005073,0.056515,2.725275,0.178561,1.741094,0.503814,7.637363,3.758604,2.048146,3.121277,1.10035,1.397263,-0.074286,0.466534,0.006321,0.004936,3
0.001912,0.00018,0.002354,0.000795,0.002246,0.000723,0.005897,0.00265,0.001995,0.000477,0.003136,0.002402,0.434125,0.832797,0.619622,1.18816,0.82129,2.691318,2.078349,1.077037,1.247275,0.649911,0.814693,-0.1796,0.513324,0.003242,0.004305,3
0.001881,0.000037,0.001879,0.000036,0.001881,0.000037,0.001773,0.000031,0.001768,0.000029,0.001772,0.000031,0.08455,2.670775,-0.013939,1.312828,0.52566,8.080986,2.597315,1.885651,2.948629,1.177904,1.408229,-0.011779,0.185461,0.004258,0.004124,5
0.001951,0.000036,0.001923,0.000045,0.001929,0.000045,0.006489,0.003241,0.00215,0.000526,0.003487,0.00285,0.051321,4.452229,0.100076,2.313116,0.4228,8.43949,5.380097,2.203525,3.307201,1.646071,1.581561,-0.091259,0.523633,0.000501,0.002088,4
0.001942,0.000039,0.001942,0.000037,0.001942,0.000037,0.001788,0.000032,0.001783,0.000032,0.001783,0.000032,0.050402,3.315271,0.022611,1.741416,0.425417,7.827586,3.462884,2.010863,3.216473,1.087384,1.396418,-0.065511,0.444004,0.0032,0.001902,5
0.001776,0.000025,0.001777,0.000026,0.001776,0.000026,0.00253,0.000187,0.001819,0.000161,0.002048,0.000384,0.072732,3.162311,0.001271,1.599821,0.490059,7.905089,3.169809,1.980619,3.13298,1.319141,1.469615,-0.024329,0.273085,0.000823,0.001379,1
